word	type	rafsi	selmaho	definition	notes	jargon	collection_note	score	glossword_1	glossword_1_meaning	glossword_2	glossword_2_meaning	glossword_3	glossword_3_meaning	glossword_4	glossword_4_meaning	glossword_5	glossword_5_meaning	glossword_6	glossword_6_meaning	glossword_7	glossword_7_meaning	glossword_8	glossword_8_meaning	glossword_9	glossword_9_meaning	glossword_10	glossword_10_meaning	glossword_11	glossword_11_meaning	glossword_12	glossword_12_meaning	glossword_13	glossword_13_meaning	glossword_14	glossword_14_meaning	glossword_15	glossword_15_meaning	glossword_16	glossword_16_meaning	glossword_17	glossword_17_meaning	glossword_18	glossword_18_meaning	glossword_19	glossword_19_meaning	glossword_20	glossword_20_meaning	placekeyword_1	placekeyword_1_meaning	placekeyword_2	placekeyword_2_meaning	placekeyword_3	placekeyword_3_meaning	placekeyword_4	placekeyword_4_meaning	placekeyword_5	placekeyword_5_meaning	placekeyword_6	placekeyword_6_meaning	placekeyword_7	placekeyword_7_meaning
ionti	fu'ivla			$x_1$ is an ion of radical/(atom of element)$x_2$ with $x_3$ charges	c.f. {ma'u zei ionti}, {ni'u zei ionti}, {lektoni}, {xumsle}.			4	ion																																																					
iosna	fu'ivla			$x_1$ is a Mr. (male married honorific), recognized by $x_2$	See {iolpe}, {iolna}, {iolni}, {iospe}, {iosna}, {iosni}, {iocre}			2	Mr	generic male married honorific																																																				
iosni	fu'ivla			$x_1$ is a Mrs. (female married honorific), recognized by $x_2$	See {iolpe}, {iolna}, {iolni}, {iospe}, {iosna}, {iosni}, {iocre}			2	Mrs	generic female married honorific																																																				
iospe	fu'ivla			$x_1$ is a Mx./Mr./Mrs. (married honorific, unspecified gender), recognized by $x_2$ 	See {iolpe}, {iolna}, {iolni}, {iospe}, {iosna}, {iosni}, {iocre}			2	Mx	generic married honorific, unspecified gender																																																				
io'u	experimental cmavo		UI1	attitudinal: good mental health - bad mental health	Feeling especially relieved from (or with {nai}, especially plagued by) (semi-)permanent mental health conditions (trauma, anxiety, depression).			3																																																						
i,ov	cmevla			Job.	Biblical character.			1	Job	biblical character																																																				
ipka	fu'ivla			$x_1$ hiccups				1	hiccup																																																					
ipna	fu'ivla			$x_1$ eeps / is eeping	An {u'ivla} based on {sipna}, cf. English sleep → eep. See also {ipta'i}, {iptcu}			2	eep																																																					
ipta'i	fu'ivla			$x_1$ is eepy; $x_1$ needs/wants eep	See also {ipna}, {iptcu}			3	eepy																																																					
iptcu	fu'ivla			$x_1$ is eepy for reason $x_2$	See also {ipna}, {ipta'i}			2	eepy																																																					
iptsa	fu'ivla			$x_1$ is a pizza with topping/ingredients $x_2$.	Cf. {cidjrpitsa}, {pitnanba}, {nabypalne}, {fomymledi}, {cirla}, {toknu}, {tamca}, {cidja}.			4	pizza																																								pizza		topping	pizza										
irbisa	fu'ivla			$x_1$ is a snow leopard (Panthera uncia syn. Uncia uncia) of subspecies/breed $x_2$	See {bramlatu}			2	snow leopard																																																					
irci	fu'ivla			$x_1$ is an IRC user on channel $x_2$ in network $x_3$.	Add a {me'e} place for nickname, or a fi'o {tcana} place for server, if needed. Erase $x_2$ using {zi'o} if no channel is involved.			3	IRC	(activity)	channel	IRC	network	IRC	user	IRC																																	IRC user	person using IRCP to communicate	IRC channel		IRC network									
irk	cmevla			IRC (Internet Relay Chat)	An Internet-based real-time text communication system. See {irci}.			2	IRC	Internet Relay Chat	Internet Relay Chat																																																			
irkasa	fu'ivla			$x_1$ is a race/breed/strain of $x_2$	See also {jutsi}.			2	breed	lineage	race	breed, species	strain	lineage																																																
irmu	fu'ivla			$x1$ is an emu (specifically dromaius novaehollandiae) of breed $x2$	See also {sirmu}			2	emu																																								emu													
irnodela	fu'ivla			$x_1$ is a swallow of species $x_2$				1																																									swallow	bird												
iRON	cmevla			Iran/Persia	The modern nation of Iran, or the historical state of Persia. See also {te'yRON}, {gugdrxirana}/{gugde'ironi}/{gugde'iru}, {kulnrxirani}, {kulnrfarsi}, {rupniruru}.			1	Iran		Persia																																																			
irstoni	fu'ivla			$x_1$ reflects Ossetian/Ossetic culture/nationality/language in aspect $x_2$.	See also {bangosusu}, {apsuua}, {adgexe}, {kartuli}, {margali}, {rusko}, {noxtino}, {xai'otso}, {zarbaija}/{azri}, {kafkaso}/{kafkazo}.			1	Ossetian	reflecting Ossetian culture/nationality/language																																							something Ossetian		aspect	aspect of being Ossetian										
isemu'ibo	cmavo-compound		I*	modal sentence connection: motive 'therefore', 'and it is the motive for ...'	See also {mukti}.			1	therefore																																																					
iseri'abo	cmavo-compound		I*	modal sentence connection: causal 'therefore'	See also {rinka}.			1	therefore																																																					
iseva'obo	cmavo-compound			modal sentence connection: as conditions/environment of/for …	See also {va'o}, {sema'ai} (‘such that’), and {xoi}.			1																																																						
isku	fu'ivla			$x_1$ is a sound represented by onomatopoeia $x_2$ (text) according to $x_3$ (experiencer)	$x_1$ can fill $x_2$ of {cmoni}. See also {sa'ei}, {sa'ei zei valsi}, {bacru}, {cusku}, {cmoni}.	SMUNI_FREIME*		1																																																						
iskuuil	cmevla			Ithkuil	The Ithkuil language, an experimental constructed language developed by John Quijada ({la} {djankixadas}) and published in its final version in 2011. Ithkuil is both logical and unambiguous in its syntax and extremely precise in its semantics, designed to be suited for 'descriptions of the holistic vs. discrete componential structure of objects, situations, and phenomena', 'the causal dynamics of complex states, acts, [and] events', and many other areas of nuance (Ithkuil.net, 'Introduction'). It can pack such detail into short words and syllables due to its large phonemic inventory, use of phonemic tone and stress, and complex agglutinative morphology. Quijada describes the language as 'an exercise in exploring how human languages could function, not how human languages do function' (Ithkuil.net, 'Introduction'). Alternate names for the language: {itku'ile}, {itku'ilybau}.			1	Ithkuil	language (constructed)	Ithkuil language	conlang																																																		
islam	cmevla			$x_1$ is Islam	Cf. {muslo}, {jegvon}, {cesycku}			1																																																						
island	cmevla			Iceland.				2	Iceland																																																					
islenska	fu'ivla			$x_1$ reflects Iceland/Icelandic culture/nationality/language in aspect $x_2$.	See {no'ordo}, {island}			2	Icelandic	language	Icelandic	culture	Icelandic	country																																																
ismo	fu'ivla			$x_1$ (abstract) is an ideology about $x_2$ (object/abstract) accepted by $x_3$	See {sidbo}			2	ideology		ism																																																			
ismu	fu'ivla			$x_1$ is a fu'ivla formed by dropping the first letter of CVCCV gismu $x_2$.	see {gismu}, {fu'ivla}			2																																																						
isna	fu'ivla			$x_1$ is a close front unrounded vowel sound produced by $x_2$.	Synonym: {isnce}. Both are derived from and synonymous with {ibu zei sance}.	linguistics		1	close front unrounded vowel	phone	high front unrounded vowel	phone	I sound	sound of the letter I in Lojban and many other languages	close front unrounded vowel sound																																		close front unrounded vowel	phone	speech-sound producer											
isnce	fu'ivla			$x_1$ is a close front unrounded vowel sound produced by $x_2$.	Synonym: {isna}. Both are derived from and synonymous with {ibu zei sance}. The odd morphological form serves to place the most salient vowel in the stressed syllable.	linguistics		1	close front unrounded vowel sound		close front unrounded vowel	phone	high front unrounded vowel	phone	I sound	sound of the letter I in Lojban and many other languages																																	close front unrounded vowel	phone	speech-sound producer											
istanbul	cmevla			Istanbul	Most populous city in Turkey ({gugdrtirki}). See also {tirkice}, {andolu}.			1	Istanbul	Turkish city																																																				
iste	fu'ivla			$x_1$ is a person with occupation/profession/interest/particular creative or academic role in $x_2$	See {se} {cuntu}, {se} {jibri}			2	-ist		occupied																																																			
isxa	fu'ivla			$x_1$ is a dinosaur of hip-based clade/with hip structure $x_2$				2	-ischia	dinosaur clase																																																				
isxia	obsolete fu'ivla			$x_1$ is a dinosaur of hip-based clade/with hip structure $x_2$				1	-ischia	dinosaur clase																																																				
italian	obsolete cmevla			Italy.	Cf. {gugdrtalia}, {gugde'itu}.			2	Italy																																																					
italias	obsolete cmevla			Italy.				1																																																						
itca	fu'ivla			$x_1$ is now/happens/occurs now.	Synonym of {ca'abna}. See also {izva}.			4	now																																																					
itco	fu'ivla			$x_1$ is a ginkgo (Ginkgo biloba) of variety $x_2$.	From Japanese 銀杏 ichō, borrowed from Mandarin 鴨脚 yājiǎo, lit. 'duck's foot', in reference to the shape of the leaves.			1	ginkgo																																																					
itiiopiias	cmevla			Ethiopia	Variants: {itiiopiIAS} and {itiIOpiias}. Equivalent to {gugde'etu}. See also {bangamuxe}, {bangorumu}, {bantu'iru}, {bangetuxe}, among others.			2	Ethiopia	country																																																				
itka	fu'ivla			$x_1$ is not running service/not in operation/not performing function $x_2$; $x_1$ is "turned off", not working, inactive	See also {akti}. This word is the reverse of akti, with opposite meaning.			2	inactive	not operational	stopped		turned off	in a state of non-operation																																																
